"case_ID","pay_attn_to_politics","vote_in_2012","vote_choice_2012","attn_to_news","registered_to_vote","party_of_registration","vote_in_primary","vote_choice_primary","vote_for_president","vote_choice_president","approve_of_congress","country_on_track","approve_of_president","feeling_dem_cand","feeling_rep_cand","feeling_prev_pres","feeling_bill_clinton","feeling_dem_party","feeling_rep_party","have_health_insurance","favor_2010_health_care_law","liberal.cons_self","current_econ","party_better_economy","importance_of_guns","policy_immigrants","build_wall","speak_english","syrian_refugees","gov_waste_.tax_money","global_warming","death_penalty","obama_angry","obama_proud","religion_important","attend_church","attend_church_often","born_again_christian","age","married","education","hispanic","white","black.af.amer","amer.indian.alaskan","asian","hawaiian.pac.islander.mentioned","native_status_parents","grandparents_born_outside_US"
11,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,"2. Disapprove","2. Wrong track","2. Disapprove",0,50,0,30,0,60,"2. Oppose","2. Oppose",NA,"4. Bad","2. Republicans","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","1. Important","2. No",NA,"1. Yes",40,"3. Divorced","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
12,"2. Most of the time","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",85,0,100,50,85,30,"1. Favor","1. Favor","2. Liberal","3. Neither good nor bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","1. Never","3. About half the time","1. Important","2. No",NA,"2. No",86,"2. Widowed","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","2. Two"
13,"2. Most of the time","2. No, didn't vote",NA,"1. A great deal","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"1. Yes","3. Gary Johnson","2. Disapprove","1. Right direction","1. Approve",40,30,60,60,40,70,"2. Oppose","2. Oppose","4. Moderate, middle of the road","3. Neither good nor bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","3. Neither favor nor oppose","2. Waste some","2. Probably hasn't been happening","2. Oppose","2. Some of the time","2. Some of the time","1. Important","2. No",NA,"2. No",30,"5. Never married","5. Bachelor's degree","1. Yes","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
14,"2. Most of the time","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,0,0,15,50,"2. Oppose","2. Oppose",NA,"4. Bad","2. Republicans","1. Extremely important","2. Have a guest worker program in order to work","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","1. Important","1. Yes","4. A few times a year","1. Yes",67,"1. Married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
15,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,0,85,60,85,30,"1. Favor","1. Favor","2. Liberal","2. Good","1. Democrats","2. Very important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","2. Somewhat important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","4. Most of the time","1. Important","1. Yes","1. Every week","2. No",62,"3. Divorced","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
16,"4. Some of the time","2. No, didn't vote",NA,NA,"2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,NA,"2. Wrong track","1. Approve",50,60,70,40,60,50,"2. Oppose","2. Oppose",NA,"5. Very bad","3. Not much difference between them","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","2. Oppose","1. Very important",NA,"3. Don't waste very much","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","1. Important","2. No",NA,"1. Yes",51,"5. Never married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
17,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,0,85,85,70,15,"1. Favor","1. Favor","2. Liberal","2. Good","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","1. Favor","3. Don't waste very much","1. Has probably been happening","2. Oppose","2. Some of the time","4. Most of the time","2. Not important","2. No",NA,"2. No",46,"1. Married","6. Master's degree","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","3. Three"
18,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",40,100,40,40,30,70,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","3. About half the time","2. Not important","2. No",NA,NA,70,"3. Divorced","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
19,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,0,85,70,70,15,"1. Favor","1. Favor","3. Slightly liberal","2. Good","3. Not much difference between them","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","3. Not very important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","4. Most of the time","2. Not important","1. Yes","4. A few times a year",NA,30,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
20,"2. Most of the time","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"1. Yes, voted in primary or caucus","2. Bernie Sanders","1. Yes","3. Gary Johnson","2. Disapprove","2. Wrong track","2. Disapprove",15,15,60,30,40,60,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"2. Good","3. Not much difference between them","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","1. Important","1. Yes","2. Almost every week",NA,67,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
21,"3. About half the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","5. Ted Cruz",NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",0,85,0,0,15,70,"2. Oppose","2. Oppose","5. Slightly conservative","4. Bad","2. Republicans","2. Very important","2. Have a guest worker program in order to work","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","2. Almost every week",NA,66,"2. Widowed","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
22,"3. About half the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","1. Approve","2. Wrong track","2. Disapprove",10,90,20,60,40,80,"2. Oppose","2. Oppose","3. Slightly liberal","4. Bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","2. Somewhat important","2. Oppose","2. Waste some","2. Probably hasn't been happening","1. Favor","4. Most of the time","2. Some of the time","2. Not important","2. No",NA,NA,32,"5. Never married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
23,"4. Some of the time","1. Yes, voted",NA,"4. A little","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","6. John Kasich","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",60,0,70,50,50,15,"1. Favor","1. Favor",NA,"2. Good","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","3. About half the time","2. Not important","1. Yes","4. A few times a year","2. No",56,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
24,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,"2. Disapprove","1. Right direction","2. Disapprove",30,60,40,15,40,60,"3. Neither favor nor oppose","3. Neither favor nor oppose","6. Conservative","4. Bad","2. Republicans","4. Not too important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","2. Some of the time","1. Important","1. Yes","1. Every week","2. No",65,"2. Widowed","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
25,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,60,15,15,15,40,"2. Oppose","2. Oppose","7. Extremely conservative","4. Bad","2. Republicans","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening",NA,"4. Most of the time","2. Some of the time","1. Important","2. No",NA,NA,61,"1. Married","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Both parents born in the U.S.","0. None"
26,"2. Most of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",0,70,0,0,50,50,"2. Oppose","2. Oppose",NA,"5. Very bad","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot",NA,"2. Oppose","5. Always","1. Never","2. Not important","1. Yes","5. Never","2. No",34,"5. Never married","1. Some high school or less","2. No","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
27,"4. Some of the time","2. No, didn't vote",NA,"3. A moderate amount","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"1. Approve","2. Wrong track","2. Disapprove",15,40,40,30,50,60,"2. Oppose","2. Oppose","2. Liberal","3. Neither good nor bad","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","2. Oppose","2. Somewhat important","2. Oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","2. Almost every week",NA,68,"3. Divorced","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","1. One"
28,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,"1. Approve","2. Wrong track","2. Disapprove",40,70,50,30,50,50,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"5. Very bad","3. Not much difference between them","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","2. Somewhat important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","2. Almost every week","1. Yes",25,"5. Never married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
29,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","1. Right direction","1. Approve",85,0,100,100,85,15,"1. Favor","1. Favor","2. Liberal","2. Good","1. Democrats","1. Extremely important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","3. Not very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","5. Always","1. Important","2. No",NA,"2. No",73,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
30,"2. Most of the time","1. Yes, voted","2. Mitt Romney","3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",40,40,15,30,30,50,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","5. Very bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",67,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
31,"3. About half the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,"2. Disapprove","1. Right direction","1. Approve",40,60,85,60,70,70,"1. Favor","1. Favor","2. Liberal","2. Good","3. Not much difference between them","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","3. Neither favor nor oppose","1. Waste a lot","2. Probably hasn't been happening","2. Oppose","2. Some of the time","3. About half the time","2. Not important","1. Yes","4. A few times a year","1. Yes",35,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","0. None"
32,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,0,40,0,15,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",64,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","1. One"
33,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,100,0,0,0,85,"2. Oppose","2. Oppose","6. Conservative","5. Very bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot",NA,"1. Favor","4. Most of the time","2. Some of the time","1. Important","1. Yes","1. Every week","1. Yes",73,"1. Married","3. Some college","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","4. All"
34,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,100,0,15,0,60,"2. Oppose","2. Oppose","7. Extremely conservative","5. Very bad","2. Republicans","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","2. Almost every week",NA,69,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. One parent born in the U.S.","0. None"
35,"4. Some of the time","1. Yes, voted","1. Barack Obama","4. A little","1. Registered","3. None or 'independent'","2. No, didn't vote in primary or caucus",NA,"2. No",NA,"1. Approve","2. Wrong track","2. Disapprove",40,40,40,40,40,50,"1. Favor","1. Favor","4. Moderate, middle of the road","4. Bad","2. Republicans","4. Not too important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","1. Favor","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","1. Never","1. Important","1. Yes","1. Every week","1. Yes",41,"4. Separated","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
36,"1. Always","1. Yes, voted","1. Barack Obama","2. A lot","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",70,15,85,85,60,40,"1. Favor","1. Favor","2. Liberal","2. Good","1. Democrats","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","1. Favor","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","3. About half the time","1. Important","1. Yes","4. A few times a year","2. No",67,"2. Widowed","8. Doctorate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
37,"2. Most of the time","2. No, didn't vote",NA,"3. A moderate amount","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,NA,"2. Wrong track","2. Disapprove",40,60,30,30,60,30,"2. Oppose","2. Oppose",NA,"4. Bad","1. Democrats","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","2. Some of the time","1. Important","2. No",NA,NA,59,"5. Never married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","2. Two"
38,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,0,0,15,85,"2. Oppose","2. Oppose","4. Moderate, middle of the road","5. Very bad","2. Republicans","3. Somewhat important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",54,"1. Married","4. Associate degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
